timestamp,user,src_ip,dest_url,method,status_code,bytes_sent,bytes_received,category
2024-03-26 11:12:26,lbrown,10.10.1.104,https://docs.microsoft.com/search,GET,304,4289,30628,Normal
2024-03-14 09:35:25,jscott,10.10.3.103,https://github.com/login,POST,200,4467,15744,Normal
2024-03-28 15:05:43,ecook,10.10.6.104,https://www.microsoft.com/login,GET,200,2114,35222,Normal
2024-03-11 10:06:44,lward,10.10.8.102,https://slack.com/,GET,200,3190,41001,Normal
2024-03-07 16:55:35,zstewart,10.10.5.109,https://github.com/api,GET,404,1116,39171,Normal
2024-03-27 08:33:00,yedwards,10.10.5.108,https://www.google.com/docs,GET,200,2586,31086,Normal
2024-03-25 09:56:00,rsanders,10.10.9.103,https://www.linkedin.com/docs,GET,200,1533,29001,Normal
2024-03-27 11:25:50,kgreen,10.10.3.104,https://slack.com/,GET,404,3889,6094,Normal
2024-03-30 10:52:35,kjones,10.10.1.105,https://docs.microsoft.com/login,GET,200,3921,40546,Normal
2024-03-10 09:22:39,kjones,10.10.1.105,https://www.dropbox.com/login,GET,200,3407,21950,Normal
2024-03-21 09:27:40,fmorgan,10.10.6.105,https://www.salesforce.com/search,GET,304,3747,20573,Normal
2024-03-18 13:03:49,crogers,10.10.6.102,https://www.office.com/search,GET,200,4338,45656,Normal
2024-03-30 11:39:11,ecook,10.10.6.104,https://www.office.com/login,GET,404,2646,18908,Normal
2024-03-01 10:02:28,jscott,10.10.3.103,https://www.linkedin.com/,GET,200,953,43114,Normal
2024-03-11 08:17:59,ladams,10.10.3.105,https://www.microsoft.com/search,GET,200,3889,24818,Normal
2024-03-19 11:19:25,kjones,10.10.1.105,https://teams.microsoft.com/docs,POST,200,2396,42923,Normal
2024-03-04 12:55:28,owatson,10.10.8.105,https://www.microsoft.com/search,GET,404,409,28041,Normal
2024-03-01 12:40:53,kcox,10.10.8.101,https://www.dropbox.com/login,GET,304,4526,6598,Normal
2024-03-20 17:24:20,ptaylor,10.10.1.103,https://www.salesforce.com/,POST,200,3581,1782,Normal
2024-03-13 16:13:32,hrobinson,10.10.3.101,https://trello.com/,GET,200,3013,36158,Normal
2024-03-30 17:31:16,zstewart,10.10.5.109,https://docs.microsoft.com/docs,POST,200,2037,21371,Normal
2024-03-05 14:43:02,cwhite,10.10.2.103,https://docs.microsoft.com/api,GET,404,1885,40412,Normal
2024-03-07 08:38:35,pmitchell,10.10.4.104,https://www.dropbox.com/,POST,304,1970,7596,Normal
2024-03-09 08:19:53,eharris,10.10.2.105,https://trello.com/api,GET,200,751,12881,Normal
2024-03-20 14:20:18,mwilson,10.10.1.102,https://www.google.com/login,GET,200,3244,43936,Normal
2024-03-10 15:58:01,ocarter,10.10.4.103,https://trello.com/docs,GET,304,1541,1506,Normal
2024-03-11 11:32:24,sprice,10.10.9.104,https://github.com/,GET,200,473,7669,Normal
2024-03-18 17:13:43,jsmith,10.10.1.101,https://docs.microsoft.com/docs,GET,200,2411,8662,Normal
2024-03-20 11:14:08,crogers,10.10.6.102,https://www.microsoft.com/api,GET,304,4705,26172,Normal
2024-03-27 13:09:45,glewis,10.10.2.107,https://zoom.us/api,GET,200,3343,7247,Normal
2024-03-01 12:32:51,rsanders,10.10.9.103,https://www.dropbox.com/docs,GET,200,3756,34288,Normal
2024-03-10 15:15:56,kjones,10.10.1.105,https://www.microsoft.com/login,GET,304,1666,1946,Normal
2024-03-17 14:42:22,fclark,10.10.2.106,https://www.salesforce.com/search,POST,200,4467,39722,Normal
2024-03-06 12:37:56,qkelly,10.10.9.102,https://www.microsoft.com/docs,GET,200,703,44292,Normal
2024-03-29 16:14:27,ocarter,10.10.4.103,https://teams.microsoft.com/login,GET,200,714,14906,Normal
2024-03-09 11:20:10,sprice,10.10.9.104,https://www.linkedin.com/,POST,200,371,45446,Normal
2024-03-08 14:44:13,wevans,10.10.5.106,https://www.dropbox.com/,GET,200,1244,33763,Normal
2024-03-17 08:39:13,ptaylor,10.10.1.103,https://portal.azure.com/,GET,200,223,13836,Normal
2024-03-12 11:14:48,pmitchell,10.10.4.104,https://slack.com/login,GET,200,1666,6097,Normal
2024-03-11 09:40:14,mrichardson,10.10.8.103,https://www.dropbox.com/search,GET,200,3474,24181,Normal
2024-03-19 08:03:49,gbell,10.10.6.106,https://outlook.office365.com/,POST,200,3593,15645,Normal
2024-03-27 10:39:30,iwalker,10.10.3.102,https://www.linkedin.com/,GET,200,364,3487,Normal
2024-03-22 09:33:45,rroberts,10.10.5.101,https://docs.microsoft.com/docs,GET,304,3346,42766,Normal
2024-03-22 14:17:29,pmitchell,10.10.4.104,https://www.linkedin.com/docs,GET,404,2626,25159,Normal
2024-03-30 14:01:56,qkelly,10.10.9.102,https://www.salesforce.com/docs,GET,304,1245,22165,Normal
2024-03-06 08:53:41,kjones,10.10.1.105,https://teams.microsoft.com/search,GET,200,268,34102,Normal
2024-03-02 13:22:11,lbrown,10.10.1.104,https://www.microsoft.com/login,GET,200,3567,9714,Normal
2024-03-04 09:00:11,glewis,10.10.2.107,https://stackoverflow.com/,GET,200,3486,25696,Normal
2024-03-12 16:19:50,ocarter,10.10.4.103,https://docs.microsoft.com/search,GET,200,4851,3789,Normal
2024-03-08 10:39:08,kcox,10.10.8.101,https://www.linkedin.com/api,POST,200,3587,43240,Normal
2024-03-19 10:56:00,asanchez,10.10.5.110,https://outlook.office365.com/search,POST,304,1172,30970,Normal
2024-03-27 16:56:24,ecook,10.10.6.104,https://slack.com/,GET,200,469,16685,Normal
2024-03-13 11:18:08,asanchez,10.10.5.110,https://teams.microsoft.com/,POST,304,1790,39337,Normal
2024-03-03 17:19:22,ptaylor,10.10.1.103,https://trello.com/api,GET,304,1940,42061,Normal
2024-03-30 12:15:31,pmitchell,10.10.4.104,https://trello.com/docs,GET,304,748,42879,Normal
