timestamp,user,workstation,src_ip,event,device_type,device_name,device_id,drive_letter,files_copied,category
2024-03-09 16:22:16,vparker,WIN-SALES-005,10.10.5.105,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-02 12:11:28,jrivera,WIN-EXEC-003,10.10.7.103,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-18 14:47:02,owatson,WIN-OPS-005,10.10.8.105,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-01 14:24:59,jsmith,WIN-HR-001,10.10.1.101,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-03 08:34:47,mbaker,WIN-SOC-001,10.10.4.101,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-05 11:04:43,ptaylor,WIN-HR-003,10.10.1.103,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-30 15:58:46,yedwards,WIN-SALES-008,10.10.5.108,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-09 08:39:46,qperez,WIN-SOC-005,10.10.4.105,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-13 13:08:26,sturner,WIN-SALES-002,10.10.5.102,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-14 15:47:50,fmorgan,WIN-MKT-005,10.10.6.105,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-05 15:58:14,crogers,WIN-MKT-002,10.10.6.102,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-30 09:48:54,sturner,WIN-SALES-002,10.10.5.102,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-01 11:56:19,ladams,WIN-IT-005,10.10.3.105,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-27 12:44:45,ibailey,WIN-EXEC-002,10.10.7.102,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-19 08:39:42,nwood,WIN-OPS-004,10.10.8.104,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-28 14:47:38,fmorgan,WIN-MKT-005,10.10.6.105,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-07 17:55:41,ptaylor,WIN-HR-003,10.10.1.103,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-09 12:47:00,mbaker,WIN-SOC-001,10.10.4.101,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-12 16:03:57,ptaylor,WIN-HR-003,10.10.1.103,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-05 17:49:31,ptaylor,WIN-HR-003,10.10.1.103,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-12 08:48:54,rthompson,WIN-FIN-001,10.10.2.101,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-29 14:10:48,mbaker,WIN-SOC-001,10.10.4.101,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-25 17:52:39,cwhite,WIN-FIN-003,10.10.2.103,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-09 14:41:12,tphillips,WIN-SALES-003,10.10.5.103,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-08 10:19:26,yedwards,WIN-SALES-008,10.10.5.108,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-25 09:17:14,tphillips,WIN-SALES-003,10.10.5.103,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-09 08:46:23,dlee,WIN-FIN-004,10.10.2.104,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-26 11:32:53,qkelly,WIN-RD-002,10.10.9.102,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-16 16:40:55,tphillips,WIN-SALES-003,10.10.5.103,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-05 08:20:49,tphillips,WIN-SALES-003,10.10.5.103,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-17 16:10:21,lward,WIN-OPS-002,10.10.8.102,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-11 11:27:29,jsmith,WIN-HR-001,10.10.1.101,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-09 17:50:59,tphillips,WIN-SALES-003,10.10.5.103,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-13 13:52:10,rroberts,WIN-SALES-001,10.10.5.101,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-15 16:35:23,fclark,WIN-FIN-006,10.10.2.106,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-06 12:32:04,lward,WIN-OPS-002,10.10.8.102,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-03 13:12:41,gbell,WIN-MKT-006,10.10.6.106,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-14 16:22:02,kjones,WIN-HR-005,10.10.1.105,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-13 13:49:23,cwhite,WIN-FIN-003,10.10.2.103,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-14 08:24:51,fclark,WIN-FIN-006,10.10.2.106,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-16 14:35:06,mrichardson,WIN-OPS-003,10.10.8.103,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-20 12:06:29,eharris,WIN-FIN-005,10.10.2.105,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-07 10:27:58,dlee,WIN-FIN-004,10.10.2.104,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-25 17:25:51,ucampbell,WIN-SALES-004,10.10.5.104,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-26 15:11:52,yedwards,WIN-SALES-008,10.10.5.108,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-09 14:31:12,kjones,WIN-HR-005,10.10.1.105,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-27 10:22:53,rthompson,WIN-FIN-001,10.10.2.101,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-21 16:53:34,pmitchell,WIN-SOC-004,10.10.4.104,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-25 09:35:34,lward,WIN-OPS-002,10.10.8.102,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-30 15:57:46,yedwards,WIN-SALES-008,10.10.5.108,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-25 14:32:48,ucampbell,WIN-SALES-004,10.10.5.104,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-10 12:10:12,dlee,WIN-FIN-004,10.10.2.104,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-19 10:08:22,rroberts,WIN-SALES-001,10.10.5.101,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-27 11:21:51,jscott,WIN-IT-003,10.10.3.103,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-18 09:07:06,wevans,WIN-SALES-006,10.10.5.106,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-12 13:37:25,rroberts,WIN-SALES-001,10.10.5.101,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-07 15:41:53,iwalker,WIN-IT-002,10.10.3.102,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-16 11:17:09,ptaylor,WIN-HR-003,10.10.1.103,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-08 10:43:31,kgreen,WIN-IT-004,10.10.3.104,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-23 13:20:04,bmorris,WIN-MKT-001,10.10.6.101,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-04 16:28:30,ladams,WIN-IT-005,10.10.3.105,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-07 09:20:44,jscott,WIN-IT-003,10.10.3.103,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-17 17:44:03,hrobinson,WIN-IT-001,10.10.3.101,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-02 10:48:48,mrichardson,WIN-OPS-003,10.10.8.103,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-28 17:21:17,tphillips,WIN-SALES-003,10.10.5.103,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-10 15:35:30,tphillips,WIN-SALES-003,10.10.5.103,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-28 12:18:13,ladams,WIN-IT-005,10.10.3.105,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-11 12:31:32,nnelson,WIN-SOC-002,10.10.4.102,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-27 17:10:25,ocarter,WIN-SOC-003,10.10.4.103,DeviceConnected,USB Mouse,Logitech M500,USB\VID_046D&PID_C07E,,0,Normal
2024-03-11 11:30:46,mrichardson,WIN-OPS-003,10.10.8.103,DeviceConnected,USB Headset,Plantronics Headset,USB\VID_047F&PID_C056,,0,Normal
2024-03-30 11:25:49,mbaker,WIN-SOC-001,10.10.4.101,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
2024-03-27 14:13:19,mrichardson,WIN-OPS-003,10.10.8.103,DeviceConnected,USB Keyboard,Logitech K380,USB\VID_046D&PID_C52B,,0,Normal
